"seller_id","total_orders","total_revenue","avg_review_score"
"79ebd9a61bac3eaf882805ed4ecfa12a",136,15297.59,4.01
"75d34ebb1bd0bd7dde40dd507b8169c3",62,15048.28,3.82
"01fdefa7697d26ad920e9e0346d4bd1b",129,14921.43,4.35
"1b4c3a6f53068f0b6944d2d005c9fc89",113,14809.30,4.11
"a5cba26a62b8b4d0145b68b841e62e7f",54,14737.84,4.53
"8e6d7754bc7e0f22c96d255ebda59eba",85,14736.46,3.02
"87b740daf17b5d1be335a64164ec6842",13,14699.87,3.31
"4c2b230173bb36f9b240f2b8ac11786e",261,14638.17,3.76
"080199a181c46c657dc5aa235411be3b",79,14504.20,4.61
"5cf13accae3222c70a9cac40818ae839",149,14383.20,4.44
"3b15288545f8928d3e65a8f949a28291",104,14381.76,3.85
"a6bd7d1ccdac48c6b33b28596b7eb122",16,14368.61,3.33
"66922902710d126a0e7d26b0e3805106",151,14362.30,4.45
"c6bda72e4dbf5c5866b13cb1810c6d03",59,14169.28,4.38
"aba1721a889e04decc910aa13b768ef4",83,14103.30,4.46
"a673821011d0cec28146ea42f5ab767f",129,14098.48,3.89
"f08a5b9dd6767129688d001acafc21e5",11,14069.63,3.44
"2e90cb1677d35cfe24eef47d441b7c87",127,13894.71,4.04
"d94a40fd42351c259927028d163af842",101,13823.80,4.10
"a3e9a2c700480d9bb01fba070ba80a0e",130,13809.80,4.01
"6039e27294dc75811c0d8a39069f52c0",64,13800.60,3.84
"05f51e13da97139648b8125c31e5f51b",60,13769.01,4.10
"440dd6ab244315c632130ecfb63827b1",94,13696.90,3.85
"b8bc237ba3788b23da09c0f1f3a3288c",45,13685.71,4.35
"1f9ab4708f3056ede07124aad39a2554",78,13602.73,4.09
"6d66611d7c44cc30ce351abc49a68421",166,13593.40,3.91
"240b9776d844d37535668549a396af32",36,13592.08,4.28
"610f72e407cdd7caaa2f8167b0163fd8",16,13585.16,3.71
"289cdb325fb7e7f891c38608bf9e0962",110,13544.95,4.58
"0b35c634521043bf4b47e21547b99ab5",51,13533.65,3.49
"d05ae8f7a5bd1d2a690a44cd079e4e27",78,13436.00,3.79
"34d1ca11b242c0fee2c834ae8d788566",40,13422.24,4.30
"00fc707aaaad2d31347cf883cd2dfe10",103,13409.90,3.74
"669ae81880e08f269a64487cfb287169",162,13378.87,4.10
"e8b3a3a38279a82f0e5d006d5e5b7d2c",87,13354.60,3.74
"1ca7077d890b907f89be8c954a02686a",115,13341.57,2.20
"8cc6a0e5738e61a87b03c78b2ba9db4b",24,13312.40,4.15
"cfb1a033743668a192316f3c6d1d2671",147,13256.14,3.93
"ad97a199236354e53fcd91a5a913e9a2",17,13205.90,4.50
"6edacfd9f9074789dad6d62ba7950b9c",208,13197.00,4.36
"c31eff8334d6b3047ed34bebd4d62c36",122,13191.50,3.85
"431af27f296bc6519d890aa5a05fdb11",117,13149.40,3.78
"99eaacc9e6046db1c82b163c5f84869f",66,13139.17,3.90
"9e6229250fedbe05838fef417b74e7fb",74,13132.20,3.90
"d50d79cb34e38265a8649c383dcffd48",70,13012.42,4.25
"530ec6109d11eaaf87999465c6afee01",97,12983.81,4.22
"6e386f64c84e482f0b9abf960797ee1b",30,12938.30,4.61
"e24fc9fcd865784fb25705606fe3dfe7",52,12936.00,4.20
"c60b801f2d52c7f7f91de00870882a75",41,12913.50,3.32
"2e1c9f22be269ef4643f826c9e650a52",167,12777.67,4.16
"ac3508719a1d8f5b7614b798f70af136",103,12775.84,4.57
"ed4acab38528488b65a9a9c603ff024a",32,12759.45,3.73
"7202e2ba20579a9bd1acb29e61fe71f6",53,12750.50,3.83
"2b1a40c1daabc6ca280c4b815c101841",23,12732.60,3.63
"c66dccfb3f109511246da627dd5a2498",45,12708.55,4.49
"b372ee768ed69e46ca8cdbd267aa7a38",63,12665.00,4.40
"66e0557ecc2b4dbea057e93f215f68d8",31,12480.00,3.94
"a7f13822ceb966b076af67121f87b063",75,12477.64,3.44
